SSS,Longitude,Latitude
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 1,145.343,-19.66
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 2,145.347,-19.6125
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 3,145.348,-19.6085
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 4,145.34,-19.594
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 5,145.358,-19.5927
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 6,145.363,-19.5985
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 7,145.371,-19.5795
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
FE1_2011__Kutt 1 8,145.377,-19.5787
