"Reference","Latitude","Longitude"
"Garden et al. 2010",-27.556789014,153.179230634
"Garden et al. 2010",-27.556789014,153.179230634
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5344030727,153.153987232
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5354524238,153.152064471
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5448987602,153.179667108
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5450040233,153.174998106
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.5454874077,153.155694129
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.548158019,153.131024485
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.546347103,153.136572751
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5377532668,153.144795948
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.5432650318,153.140154326
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.529372178,153.1478433
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5580665445,153.160705744
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.5503898729,153.155397176
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.53920322,153.156394219
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
"Garden et al. 2010",-27.530702294,153.168970112
